"","year_absolute","sim_1","sim_2","sim_3","sim_4","sim_5","sim_6","sim_7","sim_8","sim_9","sim_10","sim_11","sim_12","sim_13","sim_14","sim_15","sim_16","sim_17","sim_18","sim_19","sim_20","sim_21","sim_22","sim_23","sim_24","sim_25","sim_26","sim_27","sim_28","sim_29","sim_30","sim_31","sim_32","sim_33","sim_34","sim_35","sim_36","sim_37","sim_38","sim_39","sim_40","sim_41","sim_42","sim_43","sim_44","sim_45","sim_46","sim_47","sim_48","sim_49","sim_50","sim_51","sim_52","sim_53","sim_54","sim_55","sim_56","sim_57","sim_58","sim_59","sim_60","sim_61","sim_62","sim_63","sim_64","sim_65","sim_66","sim_67","sim_68","sim_69","sim_70","sim_71","sim_72","sim_73","sim_74","sim_75","sim_76","sim_77","sim_78","sim_79","sim_80","sim_81","sim_82","sim_83","sim_84","sim_85","sim_86","sim_87","sim_88","sim_89","sim_90","sim_91","sim_92","sim_93","sim_94","sim_95","sim_96","sim_97","sim_98","sim_99","sim_100"
"1",2010,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534
"2",2022,840678.796968223,817939.500911209,809582.995370589,789004.295937477,817814.298837519,860909.840873168,848759.435403565,891169.456189975,819450.939750666,819042.943416457,769889.999092686,821129.417792703,783815.234333938,848576.143261806,839700.368956373,825113.172690427,835078.948276961,817779.954053103,855463.055629144,796104.525025462,845624.889350854,774771.422558261,820546.807832973,779044.469621927,844220.301364701,815381.323129822,840191.854877162,855274.098841941,837420.144556833,805389.475182649,822115.535584348,774484.335168057,846960.167052897,812289.108734094,812639.404993853,792564.542503226,828694.51669271,815094.839057322,861430.500035728,832675.319538406,841511.035181403,872905.720555043,854262.22938297,840101.681322562,837492.535829053,875072.052643326,875731.921740879,815405.139065386,769112.14099977,846876.241384514,764663.616006108,874930.029682591,837942.33946862,859192.300452816,858749.853444608,819454.296094831,874471.868109187,862540.989649976,845188.380336487,802571.448300705,794400.570286979,818570.285217344,831410.581726954,841109.028103943,827886.238610041,849648.269409848,872109.025512161,808667.505715794,869091.407515819,846873.401230065,808358.500029177,858448.185183703,829289.122054356,830038.492672926,730355.653751031,859293.156144225,828852.361748891,791650.151012798,800498.0254201,830251.784236372,717682.350032764,777012.525249198,863227.086321469,762941.963113767,842711.901579865,765498.744208404,858940.735820795,823563.637814724,875998.353808831,781532.062314828,863852.270999654,858065.579849028,828633.430079379,830323.240968051,802123.58391526,865843.013068254,867174.944145497,884765.398194913,842175.987965189,821636.529658768
"3",2023,840176.148977569,667690.993373015,809291.239366411,795996.556359269,760717.329873743,859912.335948345,851263.231738118,818015.100211339,820565.92696842,762597.195717495,704310.833452532,819609.886120543,769335.840595659,832276.131579869,830934.471023237,764292.286371751,814656.851639533,763319.57809721,751699.723095738,702002.848160082,809044.30937105,682569.659174513,845000.208991801,780817.430448078,854743.514997883,758630.358273496,750648.951943683,857474.779613737,791514.56163532,723703.296418494,831315.805723502,689662.674621276,844978.122781459,838124.390059118,803009.921891406,689282.29062201,840119.525105194,819141.884445261,859381.90176472,836186.504403052,787710.595371639,860675.576871071,842101.858165899,838669.420109844,774920.926405636,870671.887130115,865288.227072605,817017.882868637,761772.641835005,839379.255670243,665762.710301731,791688.565150722,762389.683152695,846329.559572842,796565.925032643,831427.550943661,806249.034686316,853225.778121813,793302.506286603,814590.961144295,732537.569000299,807082.717996722,725126.144985913,827702.295401084,812917.736927211,853309.196678272,779224.151850524,805459.35432123,858291.116471308,773740.556814729,740376.924140961,774978.96656606,831335.145212754,750306.143356108,679662.379260506,862184.903132841,766428.820134218,773735.373737429,811350.975067932,818075.007048583,731963.299981326,803561.473207472,810801.797256819,773738.409637907,831310.605091266,686023.644291684,697266.123143251,778015.560844549,829506.469448008,788286.996883817,867805.177435526,683968.792659558,811592.425685051,646260.350173277,801680.349589818,807922.778260536,878224.587779531,821605.420469163,752130.954286141,833702.017042667
"4",2024,831050.064771802,819721.600628833,786630.724488676,775574.992298399,773559.490320067,741671.128758602,840559.296074879,880222.112105633,797214.417789382,825731.045891311,761980.64468502,796226.4616895,748438.221766767,869138.957163142,846803.061456643,770708.445541868,834375.481532809,759436.820798544,906284.498289771,692652.660366825,859966.381248791,675437.516409939,714463.188089707,756327.857877993,777817.290817236,760785.524643359,877950.059995244,855454.843117173,792969.767089704,663515.358841122,853355.531242922,775704.089540103,797100.436514324,703444.363609197,733926.689227189,683932.948143984,869389.580416529,796701.256301434,839987.628087794,827694.365009037,738791.810180515,816816.918553339,871924.048227579,744306.573453125,772883.518855775,825792.669969829,836606.967240437,797883.134297733,772288.899317077,807281.88612279,659426.595289055,874773.085499864,883295.929858934,799429.536040877,878761.088156361,763494.269102795,878666.308599517,840156.486581868,886113.450715561,745782.735882395,840421.359620396,832089.154503807,887771.351086002,856766.031811149,819738.094388376,847962.752571107,909218.002093068,709763.227421789,825510.607380082,856075.989434348,848683.54747426,838628.485425506,818927.823939385,761922.822010972,634945.875390069,848465.796209831,763937.804289066,784312.271306343,730699.218744567,844911.885437013,656085.993313788,670171.225838293,862223.143727168,686373.006164945,856639.137665126,624506.650626177,853647.132275871,844847.250719841,887953.548739807,767038.344524695,856312.760827076,847483.584919087,823914.698116255,817895.542463953,708296.888103519,859287.757925475,903031.12360065,900494.118958692,894679.864735048,867205.336851723
"5",2025,839042.571494722,734689.344437461,787300.872093152,792221.143895009,681832.127960647,639735.221077757,861200.72502362,877531.468552748,796292.934115867,731147.061415753,678721.641179352,794865.460147017,731182.408291448,734384.449207152,736576.880966206,664071.032839595,846533.701377711,663078.701380146,883235.477087302,641662.974593821,798133.584158044,625252.909666463,671712.415058889,763262.627047614,826014.149318967,667253.53946517,851132.0253422,872989.961737686,743798.026644015,804150.633315834,838797.95611637,711058.017383363,763677.862546814,670177.174819421,607250.226326488,625678.993632269,852898.162547191,800052.679928776,864416.366973019,867037.313270933,835603.750482151,805859.867940859,784362.349159644,665052.096826106,661433.32987366,811581.110504959,835199.14563065,797299.846071259,660648.23888649,790427.018826757,609757.147126117,859459.113580529,750855.931013978,784307.838290663,780512.992107683,781712.771209973,869060.46343643,829810.289433456,841481.251053698,785445.325238165,727984.925444872,718741.255781656,876431.565828679,744098.712605031,829454.582491914,875216.416455466,877164.413688332,612996.958158644,819095.51663599,797245.80436019,727114.449497643,734875.06190601,830605.67229737,706408.739399214,539427.284884055,876603.81952102,655380.361116156,791417.310540091,778104.481603602,755855.626690913,649303.025377581,632632.748457895,804393.172167832,741268.367166546,750640.298799336,771594.225084948,757358.580763129,766277.62054245,871437.917356161,776162.803153352,880670.088329748,745610.403716429,832528.118269981,713564.727893339,632152.705789109,794822.543861285,874640.723334228,879479.272647863,868486.844390283,853840.693053426
"6",2026,802183.702085841,798761.328450577,716713.155637612,728309.995814519,627906.483547448,627308.633122035,835997.573277173,853455.478916368,733736.787676318,709824.358568471,649625.217984815,731326.157061063,670149.946259961,786987.20619751,783937.094123418,597399.596090388,536940.169083252,602504.978533256,832719.491061201,743459.441349111,838587.406380601,723013.905310601,769845.828787241,686373.471077447,639932.39683456,613627.915522168,801138.128029636,852668.007697983,714562.790366251,787108.615920455,736876.022092054,695406.63358597,761651.46895304,766584.181767362,595405.838372936,727742.524372202,730780.835411402,734150.463619693,835880.01459456,841675.221066749,824061.993112703,819132.165651161,819303.968501207,649655.088566426,591274.4177613,852201.316304555,866462.05728895,737636.421223293,709530.4174798,823723.743289453,700396.928066491,789850.171384307,856532.839561178,809900.972098761,856514.185277967,615223.548969743,834329.688438521,864871.052385503,794287.801909945,658941.665463532,816213.241544891,763081.344444313,833999.467645659,787596.098425318,760088.819397247,851921.210049946,817756.691802886,607735.159816843,851323.348945805,777446.392307282,822486.224680709,694204.341158524,780814.847517484,799511.561955464,485387.451866183,849912.373585289,587497.17171891,495282.375972117,581081.018488748,794142.225469774,477231.103330225,734555.446356911,762195.806558613,531761.167043401,793093.028150931,757063.896665153,814750.618817604,819391.117902859,855770.675830158,713415.262381503,853848.982937322,808391.358927955,549228.020508744,775330.497211278,621850.662715702,746472.717422652,781977.932068195,839860.194166681,820578.131708678,723456.441152069
"7",2027,805480.842543949,742079.197863916,748816.971880526,728343.046646851,724534.662669828,665624.511365742,832895.438815188,494848.947918228,764468.231877262,736451.659173377,689714.095218114,764338.263961062,673754.603988577,808191.801810041,812569.136074991,707923.929949675,534204.429041161,706355.214451959,867103.537769045,636651.619224228,803719.204516768,622089.06594533,795661.458095739,710171.999330709,553472.811353215,715358.389629579,769398.578004106,849829.757533188,778439.325275233,745755.939911429,689069.745540362,738546.736549849,766746.115443941,795243.186871121,619684.83363824,617012.286991768,678089.069347226,757687.100416658,840176.396902865,859108.923628641,797569.673623423,815356.020842058,827395.73065816,684086.352115568,702618.475402505,842886.584455908,862463.462032136,766671.114525203,739257.812171215,818150.024451138,598351.209669062,427119.53933935,766956.774308179,803491.901187384,803855.832652222,514490.607535319,515598.229940615,857113.799580399,774832.204834308,624736.753358111,730412.488101046,783198.884852725,874568.415371824,804488.228719893,761606.149341408,854098.798225726,821443.210810086,626952.028438359,845340.874395728,820752.604218792,742127.366655951,771996.667663619,790432.538942626,734986.873988075,593272.716584193,853235.331102581,698931.527857427,491733.948089031,460499.849066742,802026.011944684,377782.499256664,773366.639948192,748393.385590008,409353.47941698,811342.7690135,712400.364875464,790027.493237551,770809.453374613,675994.013872648,724271.279367225,852420.358126198,778347.870594451,542273.331322156,743967.253615599,652861.657867382,735552.976639826,721228.984108341,575570.069865041,762371.332537198,670431.369717942
"8",2028,801715.413670882,793242.827800206,689893.642096019,665305.598907696,750209.265663316,676867.549438507,722233.572526876,526144.850579045,705062.42878111,695723.96879469,625398.555660578,706825.389645229,677002.633473421,752284.845085009,769971.829419401,738621.07400505,589647.94461624,735265.279435639,813256.427552328,702969.306565859,825415.619459763,686233.586226288,786419.511860833,645705.964469696,586292.45052294,743500.132505768,616759.910542649,772781.699400085,791796.745407967,669237.760465896,580234.788754359,715083.898508773,761603.26728259,782094.431185315,645513.688962546,690085.051497389,573438.157794612,703008.044952648,722282.612651831,733577.616392121,765388.270355132,761494.744898672,789762.255680631,689266.025325458,737252.353133602,787783.505368254,822114.224301138,719577.945313712,698626.643157009,770807.751442098,671651.477822926,458371.191373241,798119.228763243,743803.820295515,823261.928634853,544641.549363138,530755.969547123,829179.48553164,624980.102175453,644733.62778946,759971.443614069,735522.34765287,815625.958130611,757391.263408854,766096.482112706,741514.537974376,677110.744124998,646514.811208175,800463.751214092,798353.750082064,775709.977206045,722562.962465886,769053.58633726,777654.848768964,628205.145083096,725836.415758822,731371.945733478,536135.351824034,467237.64430185,763528.360742135,405343.590828936,769591.232169822,719777.881503262,437135.354659579,768432.953114774,634902.534588442,826122.427300956,797991.212967305,686382.551348469,670017.566298113,726083.836808591,812468.946072211,577325.506816529,777650.466970729,661229.029774258,710720.580515882,641429.771161225,586543.390927452,629112.698664364,580899.624904442
"9",2029,818127.827245395,705916.294954479,682382.602757652,630973.209989549,677692.840086006,695977.957726357,732020.776043808,537479.155192553,695973.90166908,638998.641430135,474903.497835088,701647.040360784,718036.2356749,698415.39463763,687339.525832789,666695.74906919,730203.415023915,668049.226072047,734016.252831696,721843.424059582,813735.98133845,702509.900569089,792471.613175876,632291.632686775,660793.928886749,666719.146615383,572873.499962176,771459.049631048,733227.772110953,746759.551566778,608123.084278606,707596.663729731,762957.992628513,779888.398451483,665612.940488292,710621.411283476,604062.725529229,701136.284523679,727853.768026868,707348.436517082,790915.960807944,673866.007121773,775956.533111113,701933.338944213,664341.880184186,694312.301534994,752145.412691731,724150.640860314,618930.300002827,687745.575535967,694961.592312164,463786.594531752,784647.387751862,649329.259962801,802874.204271632,629352.439349026,556761.04697272,786495.343996004,535253.478581157,676438.322340345,759842.403470245,680071.711786197,718661.759198237,716746.418119606,795528.314696469,736611.010705014,633528.341511399,668358.677169351,723430.71507257,785084.942387104,763414.094700913,549580.432201998,778283.752237558,781140.245987051,556477.906191374,730572.210453297,660120.898103692,680510.525813356,578053.041479204,740649.241059545,495433.846608046,776327.92566389,611318.513163405,534550.951701142,727543.593034234,719165.753222842,733966.745542413,787413.50051715,692844.524228583,662715.789848702,736574.529270052,721096.039765286,723349.336444774,687105.176766004,677763.109247243,585853.587632714,659736.720882011,603206.884996724,583954.670048274,607669.15606353
"10",2030,774947.558180634,688552.34039491,514155.904953008,497238.875252875,800381.92435098,674689.149459249,765115.289016285,573031.48578414,532834.165867155,641744.931166155,443652.425573208,533344.508586486,727510.327748603,428357.206663605,462621.189538981,799048.953834008,763684.927037271,791744.951518905,703672.857574981,757889.415917457,796319.587994134,739834.525686883,771798.49523858,471836.291414312,717534.63818511,796849.417798637,636009.494695756,802194.234177745,826880.482331502,667995.663481123,613521.448157734,701912.372124329,753511.313470516,771656.943007856,661125.954289631,752618.789487465,599924.035451374,556723.966358832,760242.529369281,741271.313439226,738177.210900908,769788.485145847,615078.744965215,686220.022700768,804049.151377483,777305.737738371,796759.916025416,588344.246131979,423371.067596878,780417.328108617,735980.289358009,506941.388877853,719116.912552533,750538.955489274,787614.392481407,688081.908180981,564452.282043912,806013.753503702,501376.343019922,713433.97973498,669897.981548661,435188.732727041,678572.339779694,481871.091399067,804245.683350202,768075.965569766,699764.849805296,652953.056311746,777168.450890277,777969.662142205,700923.294257108,533219.440389027,721090.640054189,816755.176302895,688597.663798434,769912.329083649,798526.861162494,712610.949656285,643392.913398122,599448.177368324,561543.584381617,749115.976481573,569799.435694895,599172.641236215,520296.88371965,637632.279603238,762261.760768178,756910.414720007,680077.87809014,540955.363527426,776563.306181566,753130.988789392,754743.637572604,714259.393812508,660190.496624657,536240.03195552,652021.185081479,600441.776463295,649951.558714643,598845.426219086
