"","year_absolute","sim_1","sim_2","sim_3","sim_4","sim_5","sim_6","sim_7","sim_8","sim_9","sim_10","sim_11","sim_12","sim_13","sim_14","sim_15","sim_16","sim_17","sim_18","sim_19","sim_20","sim_21","sim_22","sim_23","sim_24","sim_25","sim_26","sim_27","sim_28","sim_29","sim_30","sim_31","sim_32","sim_33","sim_34","sim_35","sim_36","sim_37","sim_38","sim_39","sim_40","sim_41","sim_42","sim_43","sim_44","sim_45","sim_46","sim_47","sim_48","sim_49","sim_50","sim_51","sim_52","sim_53","sim_54","sim_55","sim_56","sim_57","sim_58","sim_59","sim_60","sim_61","sim_62","sim_63","sim_64","sim_65","sim_66","sim_67","sim_68","sim_69","sim_70","sim_71","sim_72","sim_73","sim_74","sim_75","sim_76","sim_77","sim_78","sim_79","sim_80","sim_81","sim_82","sim_83","sim_84","sim_85","sim_86","sim_87","sim_88","sim_89","sim_90","sim_91","sim_92","sim_93","sim_94","sim_95","sim_96","sim_97","sim_98","sim_99","sim_100"
"1",2010,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534,854534
"2",2022,842684.990515605,811585.942896395,810061.702124131,790302.583831592,807228.618798485,853841.676599107,840717.273190586,888688.410642809,824148.529259413,811675.021563694,767756.209688449,822670.329945022,771997.715819432,835479.207213082,830301.115912997,814426.716243016,822924.842779411,808334.890397245,845260.011548803,791800.492412305,845787.471967113,769564.234868158,812873.988743872,779051.52841034,837494.298577306,804410.274033697,831486.620607228,850985.49229696,830310.12975851,796867.551657116,809563.291246985,769137.781550803,845140.081545744,807401.146394584,807215.030953749,786341.849264059,813544.154236745,815702.095911944,856916.354234913,827165.389645435,839500.985204487,865740.803465511,847720.447485075,833684.269417273,828151.860386394,867612.894744054,875402.503275716,816369.825997513,758772.845393981,840693.361925444,759639.665873809,872365.695547949,831810.155850509,850975.690907594,855817.674681887,813446.550069557,871449.954120423,865352.170879787,834992.409069855,797610.874965953,788938.97184359,809226.01206289,820930.768852643,830228.534660474,819945.928538891,841651.891641987,865368.533195579,805140.401786069,865633.116559305,840815.253659543,801265.45133306,848344.210026608,829502.329410087,826599.224068231,727525.11046283,851114.151545643,821012.681987457,781122.457648683,796444.201923802,822012.017154301,711361.000975081,769920.991566742,854022.215639617,755266.377217104,833017.348660164,757866.831350587,854902.083090861,819697.1121922,878962.425842992,781799.524439556,855146.7325513,852500.202698088,823377.810486037,824668.460631181,796543.925199301,855979.033025932,851582.964279016,883647.621328871,833824.295708419,806552.072226296
"3",2023,837776.664955382,646309.794475828,804618.141475581,794566.085182599,747103.255464261,848417.914304595,845978.254657347,810921.820030653,823480.287898522,749317.047914106,705439.993349113,818164.47021758,756661.722349354,812077.283187765,816208.345565547,751423.761075925,801596.932554225,751841.636045961,734747.163810044,696941.282049266,797462.357955393,676350.149484005,834540.007997736,775108.428203222,852741.114639754,744509.171547015,738833.457643641,857784.203861531,777783.247165276,710956.486551295,819976.010060817,682161.936468679,838439.197123492,830683.833895286,798029.802961452,681805.581309699,827658.30934038,813868.340897766,857710.820586564,832795.535732169,777584.036410114,851700.365467762,828576.979060512,828645.608861885,765519.091110131,860952.966197637,862912.550637726,812628.429924059,745171.974009374,831111.208310965,659966.010159396,785166.802294075,750138.050297764,835108.382690816,787261.648615917,829142.546141843,797254.001612152,851999.869457757,781247.749617289,812936.36294729,722629.323119074,792289.062686444,712072.505232624,810694.01006429,802594.131898674,848416.597859359,764719.339926952,796757.388087736,852777.41844295,765548.888350403,727451.027010088,763971.1329229,827821.648251135,737859.905977892,677875.804593117,856645.576483568,755956.84905131,762381.564062761,811567.061103775,801667.388897024,729908.296812402,793014.838797927,799592.021710901,770874.064982347,815212.222492497,675540.645367211,680145.806699956,761387.672361081,825108.900276621,783360.655423924,862136.615506436,670510.585691745,805678.522222447,635815.577621156,793011.241056059,795923.367718033,866088.317424943,815241.271861926,738239.165034929,821706.99898223
"4",2024,835100.484840552,807242.40120518,792204.072780284,782012.530647037,754945.907673404,726693.604215999,833657.347159091,853230.259974201,808146.37545192,820256.65549653,761175.818102766,803070.22229661,743478.260125976,859476.127525647,839672.836564485,752067.574537214,832196.059872548,742748.227751091,882753.610086194,689609.783930927,861495.982197757,671959.355182279,689074.484810539,761656.315014657,761661.125376181,741670.844142991,868857.704025488,854447.721670229,776568.008146123,657272.087130705,834144.959749571,776835.235945264,786879.271672533,685495.256019058,731716.222560046,679244.831785751,846917.376432045,801610.940717781,836014.088233854,822224.189921672,730603.525781069,811516.70263448,869286.331833828,731329.595398155,754099.879506323,817106.117742743,829268.198292494,802524.639097286,764598.181740915,800112.054011748,656460.136297312,845687.471365163,875419.712202592,790098.150717756,876520.975807479,749789.906606316,847578.352516688,834251.337930237,880066.250293057,728780.322918897,832994.984123834,824657.337789894,861959.302386566,848668.062369419,818302.575983625,840966.695427371,902567.716894312,702063.383675149,818325.073437395,856211.850838153,841493.049598751,827457.900587361,823634.967049228,758202.479219922,629613.512167774,841838.305417805,746113.13310072,783028.875782696,718636.82252952,840723.452866124,641522.606654657,646785.94533694,856583.408274966,669381.874547199,849394.998293872,620836.666930586,842363.788748093,842102.546514954,866562.574716107,771425.964407864,848740.949397392,834251.610500979,827271.670506603,805082.82995449,696699.713918396,853242.935803166,881728.67083539,872954.77823857,885695.637261779,844967.47718638
"5",2025,841543.586771544,712217.132578182,795890.012801016,801778.507372314,657037.710758573,617892.306662864,844577.366897633,854680.354369752,807696.364485238,716033.763635386,678666.273499188,802923.738850926,728749.545128035,716853.850705974,723863.351987408,638796.921332856,849008.746849362,640069.843160419,856078.80638346,634832.149761264,782212.341567685,617701.042004227,645352.02157716,772624.989289484,830760.977449632,642084.123063034,834648.15961872,864641.048857134,716147.653932398,800366.378706401,811731.804831248,699210.958455707,743066.190187941,652371.684906424,603690.717000192,616922.51083336,820380.822404802,808542.104731014,849863.527805584,850612.474909257,834749.574201267,817276.490566256,772592.542115259,645690.998581324,639125.033317125,820988.443575808,843393.993400043,804932.431148656,646980.207573157,799840.126844863,602709.520267268,834867.275873075,732556.412245951,795651.224117484,765931.190769686,786970.442800545,843501.730579237,837693.135220072,829308.544621623,788166.693307632,714135.191606997,705941.205741263,849671.446233962,729347.281503505,835909.57461866,859184.36681857,862894.411221481,598389.014489731,826094.87395618,786193.735126902,708861.000615032,721974.997714271,833220.496064207,687192.705667222,529475.959824463,859355.683701878,631630.215342983,793739.418939684,786364.652291526,741597.399722954,655769.767499742,608066.995965788,793228.01409814,748835.045950693,736721.45094858,769863.465335176,737361.990897899,745277.093309801,853630.276365718,784409.150547412,862748.185014004,725449.807708533,837561.365581531,693592.198131197,615014.380556039,783198.785992141,840591.211488868,855572.386329395,851705.547189624,820722.250468121
"6",2026,785010.176007506,780249.916641888,698954.433672843,718280.535206545,603911.474418203,603482.636224866,820980.380253135,840539.042786999,724557.539849201,686103.356806225,642074.820983252,716241.420546715,639101.25316037,767377.713842766,769878.353474774,573728.268664886,517249.798446757,580770.151767823,817530.694680723,732532.918633625,835648.811352375,712252.372577248,741789.845657897,668166.41544883,625102.42677269,589283.946335681,792424.188588051,843637.540151744,685576.541570176,780984.364310473,717406.644507781,684966.217652737,740157.423093721,746816.961853613,587260.128299293,716044.240349818,705824.729009739,715769.727079351,824609.919979085,828978.202636044,818083.820718878,809691.859590811,807555.768969957,627848.159165157,571320.356363532,846475.170483356,867565.866769233,719940.117648915,694307.022156711,819416.533690841,690002.851103904,776961.236936266,844955.93787381,802336.077069018,851771.921465418,604404.540232328,819999.267414098,867636.039932611,775079.138981647,634806.712197612,805434.512333483,748536.10041008,818139.974492666,771179.812315474,732740.555236299,836572.803446714,809574.954953337,590853.854898821,850454.449376701,766577.844166258,812774.985352087,674477.765217343,764557.867361348,792357.677723327,476115.731155784,834520.461631235,565334.837324633,478040.731526332,572025.243168221,779964.303137382,467093.964850343,707291.559303547,744117.768996213,519145.994984995,777702.32472752,752941.57975671,800722.655257025,811267.056603868,855696.387465825,696451.545611404,837475.78276578,792875.355316041,537010.530374316,759508.556264841,602979.929011989,728553.400306313,756919.721814022,832291.651507349,809428.543450511,698106.999249177
"7",2027,800319.638927078,720338.938436851,731650.896655858,718976.503159296,708923.599218671,642075.574636843,813304.08277164,472572.533689206,757762.278970441,724091.261259334,689027.949920104,750161.646177667,643051.890043156,786631.22391004,797253.435157314,691645.549317104,514482.08474877,691339.764426205,854382.362148213,627296.636939835,798691.545044071,611884.973870176,776461.084166441,692676.089488232,530174.916918147,699145.167086557,778167.831774929,833450.905160944,761137.156092059,730544.909256411,668220.974105402,739087.581474649,747836.262796416,783782.629966123,616747.777725514,604506.917452612,653447.023157337,741701.38385164,822627.24038063,839537.306319752,784352.167957235,809353.566360017,813782.565930718,663372.764874653,688172.690787436,836419.862445815,862226.026613507,750856.952378912,722065.260009255,812118.27649572,588480.078620226,406404.332467028,762995.640677019,794733.190564319,800309.85643544,497455.553795871,490390.339789532,858368.21446862,756957.211756279,596065.1214243,726750.809445081,767151.579779035,861494.737883176,786314.273601419,734711.996907591,833654.981129008,830575.979134206,612796.232863543,842271.240402885,820000.643832633,734376.004397776,760457.850127986,781377.903042254,716580.457130207,588941.829144061,832732.467084515,683241.96534615,475018.371938332,445807.969315415,786227.730244693,362599.005240827,754181.896555424,732125.392312069,391332.410703402,794057.437062638,698981.65058901,769737.430525142,760851.445854329,647531.927591298,710038.151255705,830789.541739807,758446.206116903,531190.738152875,726235.140492245,634551.999253526,718261.334480039,693599.845191345,547353.635728998,769080.461302976,645326.446252111
"8",2028,792275.853558444,770451.291604727,673555.36626115,656437.061078045,738700.11680641,664923.504221353,703280.610736228,498617.191122142,698483.378966353,684788.369983961,629294.919194715,694137.203977982,647781.479878493,733705.438102341,756202.920560594,725170.553142635,567478.556290686,722823.695950497,795075.209509835,700915.320289831,820493.681104924,682901.391946678,753059.830485524,629040.600608421,566917.897173413,731582.109772353,600893.933094251,745224.694908547,779389.323688791,649307.207479483,555785.059242605,706311.880580148,748716.069919237,757329.447094703,648877.196539508,686908.042749665,544826.569930592,687262.803857824,711377.250759542,720835.629108561,743364.396652287,753602.247607554,774795.713830321,678522.914895453,727200.965037403,774312.180539277,812775.126594454,704374.454261907,683503.514310597,760684.885812239,668628.81449922,432518.388207501,790770.872510619,732303.915324772,818343.368380515,532089.675380726,501869.066264513,818861.842887661,614772.18134414,619562.225653358,752756.035699651,721412.426374929,795382.52628712,741681.31317797,740284.015237885,720155.84178864,656367.553946415,640281.18536208,789455.736521097,789455.649341622,766618.284947921,717098.337467954,756719.027201209,768122.534673932,626957.197312417,710913.061714324,720235.858132014,516105.485645331,459103.016962712,745319.620700649,394207.364842567,736705.786459372,709829.80959198,423684.846143713,752642.389552853,618196.711518587,803261.276368764,788536.204864038,655279.247578679,655900.645512467,706446.556814904,789257.584955997,563215.845233445,754148.069377768,652102.122605247,701478.778436988,609239.23002827,554150.122130423,609383.82055966,552274.863956643
"9",2029,808900.161258215,686388.487074148,667762.854020925,623276.857160135,669789.339792647,682950.215451393,719253.331100871,511504.255459342,690838.93448848,606572.325147473,468690.652293607,690089.957772724,697128.294936616,687386.567989642,682073.430901071,656820.812741485,715777.651474225,658827.730210384,713261.795952988,711386.210628859,797999.974509035,690655.545871155,748297.394847591,616458.042386426,647107.726354444,658637.128826143,551630.115277467,758635.567485318,719887.863968435,725595.217533749,589696.986756724,698887.264534714,746970.200914274,742408.427659573,671457.597985215,696743.394424217,580635.641056305,685385.571470192,720619.974510268,699216.381061989,774611.600279869,664752.036745853,765336.76245931,689313.293952813,656654.91792633,676637.158785727,734615.934813801,708884.616597591,609124.432779643,674007.697056776,683530.204287165,440233.671048057,764905.398594523,633976.608560701,786468.172280579,618789.736150154,527123.606877767,765737.690025661,513432.823964979,657746.017839636,742750.484726764,675199.402717057,700417.514038772,706575.896842465,777600.551857433,723086.904394987,605534.361763958,661358.446643451,705429.679295628,775779.438901321,743338.898490219,525857.252047134,764936.919874184,770365.194042244,558388.233599428,719592.099343488,650897.03381389,668484.923276651,570991.512011833,728246.832374662,485994.512414234,730665.30966199,589630.888320023,522949.107249253,716402.864306523,700969.937124533,717835.794164254,766149.200759643,662071.979181539,647495.836253403,723398.731751027,706137.745947352,717615.834315996,673678.004778799,667682.524871276,564500.169496202,633623.90060424,572655.832832859,557967.759073446,583822.736141553
"10",2030,746660.509766123,681274.548074726,486801.781919309,477721.764130502,812616.452708605,673081.203583508,752492.599781334,548874.588610865,514003.854680606,607627.731541925,433858.920930684,509303.72334675,719033.692370564,404251.626485058,444361.773763341,810847.536238429,759822.987938266,801974.773565429,684542.47723362,755795.104306728,786079.957372911,736092.977731203,737742.229413841,443624.207568232,705407.366116371,809264.633986673,612297.592326242,788593.350787156,840797.570120284,657653.67749793,598860.769991582,686682.277293895,742181.982789386,746426.892061194,677755.597117874,748186.394797837,582668.438332681,528128.160801673,754418.196204726,735494.221785872,723345.968173516,765321.639206695,585349.345533318,683292.0545056,814705.397551863,764559.332534891,786726.623981137,560104.718620042,401798.696707916,772663.588417904,732610.910651973,483374.280264229,702459.924797099,741394.948136826,775342.99597355,678381.914954955,539823.325378507,794860.768859579,478748.771537211,699432.575007731,658526.545289709,416914.859253996,662379.339085477,458730.381112665,799723.192714228,754579.702093173,670911.790398715,655375.285964961,764615.881126027,762814.283903907,683730.967589762,504256.542735596,688178.81798668,813821.007809214,703118.393497615,761078.385043741,809580.293042064,708717.074520147,635530.996021583,565938.86292221,552782.736909016,715526.653507317,547690.389084224,587732.372561516,495064.713792529,629791.08644333,761246.909906395,740815.261984237,654385.891409771,512998.932156816,763365.050113246,752678.780628055,755968.958481075,717238.623607744,659273.3086987,515788.155920559,631326.83660589,575634.222507425,622690.564819378,580963.048817954
